Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,Quantity,Method,Z-Score
0xf11fa3a88693383fde206d1ca8dbe345407866e29bf4c2e318b543cac0be66da,20041738,1717784891,2024-06-07 18:28:11,0x6889de313803839ce3e15996a86167f639b4a634,0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67,2499.99999999999,Swap,0.26495716191446356
0xf11fa3a88693383fde206d1ca8dbe345407866e29bf4c2e318b543cac0be66da,20041738,1717784891,2024-06-07 18:28:11,0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67,0xee8aaa362a75fbf8e0a38a50ddc27f38551e16ea,1949.99999999999,Swap,0.19628058872816884
0x21fff2f6e6d746987633520d03e68ed1aaa54906e242f754316777a4671a7929,20041738,1717784891,2024-06-07 18:28:11,0xee8aaa362a75fbf8e0a38a50ddc27f38551e16ea,0x3face0004bc1003b9d0672e7b23134cb80115fb6,1053.40927939798,Exec,0.08432644647075674
0x21fff2f6e6d746987633520d03e68ed1aaa54906e242f754316777a4671a7929,20041738,1717784891,2024-06-07 18:28:11,0x3face0004bc1003b9d0672e7b23134cb80115fb6,0x73acb15641b94695925a4ead696e2f4359d31804,1053.31900819482,Exec,0.08431517462186505
0x1a6d27100e105ad80ce5dbce6613917bfc73b3593c1eb2d42fea366873ee57ba,20041748,1717785011,2024-06-07 18:30:11,0x6889de313803839ce3e15996a86167f639b4a634,0xe37e799d5077682fa0a244d46e5649f71457bd09,2000.0,Swap,0.2025239135632878
0x1a6d27100e105ad80ce5dbce6613917bfc73b3593c1eb2d42fea366873ee57ba,20041748,1717785011,2024-06-07 18:30:11,0xe37e799d5077682fa0a244d46e5649f71457bd09,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,800.0,Swap,0.05268411752046295
0x1a6d27100e105ad80ce5dbce6613917bfc73b3593c1eb2d42fea366873ee57ba,20041748,1717785011,2024-06-07 18:30:11,0xe37e799d5077682fa0a244d46e5649f71457bd09,0xee8aaa362a75fbf8e0a38a50ddc27f38551e16ea,1200.0,Swap,0.10263071620140456
0xba95298f711b9ac7938654801709f9fe3ed7a2516134872f8ee80184c2b5456c,20042953,1717799579,2024-06-07 22:32:59,0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,0x49866b3681ac8c910d095f858dc0a8d82685821b,731.4260096489327,-,0.04412152358042415
0xb5007f540edac23819e9d1ce0df79088d5468cb7ad80164101977e41706c3e3b,20043202,1717802567,2024-06-07 23:22:47,0xbc6a5cfcf24eacda3c25c042494ef21b77165738,0xe37e799d5077682fa0a244d46e5649f71457bd09,1000.0,Swap,0.07765741686093376
0xe358a01bbc63627c91e15de9bf5d0521b464a560addc49690a49dc53bcd38295,20043207,1717802627,2024-06-07 23:23:47,0xbc6a5cfcf24eacda3c25c042494ef21b77165738,0xe37e799d5077682fa0a244d46e5649f71457bd09,1000.0,Swap,0.07765741686093376
